timestamp , year, month, day, hour, epa_aqi, pm2_5 , pm10  , co    , no2 , so2  , o3    , temp_c, humidity_pct, pressure_hpa, wind_speed_kmh, wind_dir_deg, rain_mm, solar_rad_wm2
1760382000, 2025,    10,  14,    0,       3,  30.06,  76.43, 132.01, 0.13,  1.12, 102.17,   25.0,           78,       1012.4,            7.7,          309,     0.0,           0.0
1760385600, 2025,    10,  14,    1,       3,  30.02,  75.86, 132.2 , 0.12,  1.08, 102.21,   24.4,           80,       1011.9,            7.8,          328,     0.0,           0.0
1760389200, 2025,    10,  14,    2,       3,  29.89,  75.19, 132.14, 0.11,  1.05, 102.36,   24.2,           80,       1011.7,            8.0,          329,     0.0,           0.0
1760392800, 2025,    10,  14,    3,       3,  29.69,  74.42, 132.16, 0.11,  1.03, 103.03,   24.1,           79,       1011.2,            8.6,          324,     0.0,           0.0
1760396400, 2025,    10,  14,    4,       3,  29.34,  72.96, 131.86, 0.11,  1.03, 104.51,   23.9,           81,       1011.0,            9.5,          333,     0.0,           0.0
1760400000, 2025,    10,  14,    5,       3,  28.84,  71.07, 131.09, 0.11,  1.06, 106.53,   23.5,           86,       1011.1,            8.9,          346,     0.0,           0.0
1760403600, 2025,    10,  14,    6,       3,  29.17,  70.5 , 132.22, 0.13,  1.3 , 112.67,   23.5,           88,       1011.5,            8.8,          345,     0.0,           0.0
1760407200, 2025,    10,  14,    7,       3,  28.99,  69.42, 131.87, 0.15,  1.41, 114.89,   23.6,           88,       1012.0,            8.6,          340,     0.0,           2.0
1760410800, 2025,    10,  14,    8,       3,  28.37,  67.82, 130.82, 0.19,  1.41, 114.49,   25.1,           80,       1012.5,            6.2,          339,     0.0,          73.0
1760414400, 2025,    10,  14,    9,       3,  27.86,  66.71, 129.62, 0.19,  1.4 , 113.64,   27.6,           67,       1012.9,            7.9,          325,     0.0,         241.0
1760418000, 2025,    10,  14,   10,       3,  27.55,  66.19, 128.87, 0.16,  1.39, 112.52,   30.0,           49,       1012.8,            8.4,          315,     0.0,         418.0
1760421600, 2025,    10,  14,   11,       3,  27.44,  66.03, 128.3 , 0.14,  1.37, 111.02,   32.0,           34,       1012.6,            7.5,          300,     0.0,         559.0
1760425200, 2025,    10,  14,   12,       3,  27.11,  65.28, 126.91, 0.12,  1.31, 108.63,   33.0,           28,       1011.7,            5.9,          270,     0.0,         645.0
1760428800, 2025,    10,  14,   13,       3,  26.28,  63.27, 124.9 , 0.11,  1.19, 104.83,   33.5,           27,       1010.6,            8.3,          246,     0.0,         665.0
1760432400, 2025,    10,  14,   14,       3,  25.56,  61.8 , 123.17, 0.1 ,  1.09, 101.09,   33.4,           29,       1009.8,           11.5,          235,     0.0,         617.0
1760436000, 2025,    10,  14,   15,       3,  24.76,  60.26, 121.67, 0.1 ,  1   ,  97.73,   32.9,           29,       1009.2,           13.6,          235,     0.0,         498.0
1760439600, 2025,    10,  14,   16,       3,  23.7 ,  58.21, 119.8 , 0.11,  0.89,  94.3 ,   32.0,           30,       1009.3,           13.6,          259,     0.0,         306.0
1760443200, 2025,    10,  14,   17,       3,  22.87,  56.73, 118.36, 0.12,  0.82,  91.89,   30.9,           34,       1009.5,           10.6,          266,     0.0,         166.0
1760446800, 2025,    10,  14,   18,       3,  22.36,  55.89, 117.61, 0.14,  0.78,  90.47,   29.0,           56,       1009.8,           10.5,          266,     0.0,          31.0
1760450400, 2025,    10,  14,   19,       3,  21.99,  55.31, 117.01, 0.14,  0.75,  89.48,   27.8,           67,       1010.0,            8.9,          277,     0.0,           0.0
1760454000, 2025,    10,  14,   20,       3,  22.08,  55.67, 117.17, 0.13,  0.76,  89.83,   27.1,           72,       1010.5,            8.4,          286,     0.0,           0.0
1760457600, 2025,    10,  14,   21,       3,  22.44,  56.51, 117.59, 0.12,  0.79,  90.44,   26.5,           74,       1010.6,            7.7,          298,     0.0,           0.0
1760461200, 2025,    10,  14,   22,       3,  22.7 ,  57.04, 117.98, 0.11,  0.8 ,  90.56,   26.4,           70,       1010.4,            8.3,          284,     0.0,           0.0
1760464800, 2025,    10,  14,   23,       3,  23.2 ,  58.27, 118.7 , 0.11,  0.84,  91.37,   25.8,           73,       1010.4,            7.9,          291,     0.0,           0.0
1760468400, 2025,    10,  15,    0,       3,  24.05,  60.2 , 119.87, 0.11,  0.89,  92.7 ,   25.6,           72,       1010.1,            8.6,          311,     0.0,           0.0
1760472000, 2025,    10,  15,    1,       3,  24.22,  60.33, 120.08, 0.1 ,  0.89,  92.83,   24.9,           77,       1010.1,            8.8,          332,     0.0,           0.0
1760475600, 2025,    10,  15,    2,       3,  24.44,  60.64, 120.34, 0.1 ,  0.89,  93.16,   24.5,           78,       1009.8,            9.2,          332,     0.0,           0.0
1760479200, 2025,    10,  15,    3,       3,  24.94,  61.6 , 121.08, 0.1 ,  0.92,  94.12,   24.1,           79,       1009.6,            8.8,          340,     0.0,           0.0
1760482800, 2025,    10,  15,    4,       3,  25.83,  63.52, 121.97, 0.1 ,  1   ,  96.16,   23.5,           84,       1009.6,            9.1,          350,     0.0,           0.0
1760486400, 2025,    10,  15,    5,       3,  27.02,  66.09, 123.21, 0.11,  1.12,  98.98,   23.6,           86,       1009.8,           10.0,          342,     0.0,           0.0
1760490000, 2025,    10,  15,    6,       3,  30.58,  74.8 , 127.72, 0.13,  1.53, 107.2 ,   23.7,           82,       1010.1,            9.9,          335,     0.0,           0.0
1760493600, 2025,    10,  15,    7,       3,  33.49,  81.84, 131.62, 0.16,  1.87, 112.99,   23.9,           76,       1010.8,            9.0,          338,     0.0,           2.0
1760497200, 2025,    10,  15,    8,       3,  35.31,  86.29, 134.13, 0.22,  2.11, 116.59,   25.3,           66,       1011.3,            6.7,          336,     0.0,          74.0
1760500800, 2025,    10,  15,    9,       3,  36.4 ,  89.12, 135.8 , 0.22,  2.25, 118.48,   28.0,           50,       1011.6,            7.6,          335,     0.0,         244.0
1760504400, 2025,    10,  15,   10,       3,  36.28,  88.51, 135.34, 0.2 ,  2.21, 117.56,   30.6,           33,       1011.6,            9.8,          332,     0.0,         423.0
1760508000, 2025,    10,  15,   11,       3,  35.58,  86.52, 134.08, 0.17,  2.07, 115.78,   32.4,           26,       1011.6,            9.0,          323,     0.0,         566.0
1760511600, 2025,    10,  15,   12,       3,  34.67,  84.24, 132.07, 0.14,  1.9 , 112.93,   33.5,           22,       1010.7,            5.5,          314,     0.0,         650.0
1760515200, 2025,    10,  15,   13,       3,  33.83,  82.43, 130.39, 0.13,  1.74, 110.06,   34.1,           20,       1009.8,            4.5,          268,     0.0,         670.0
1760518800, 2025,    10,  15,   14,       3,  33.27,  81.54, 129.2 , 0.13,  1.63, 107.87,   34.2,           21,       1009.1,            9.3,          252,     0.0,         622.0
1760522400, 2025,    10,  15,   15,       3,  33.91,  83.93, 130   , 0.14,  1.68, 108.11,   33.9,           23,       1008.6,           13.4,          259,     0.0,         511.0
1760526000, 2025,    10,  15,   16,       3,  34.95,  87.1 , 131.48, 0.16,  1.78, 109.37,   33.0,           25,       1008.4,           15.7,          265,     0.0,         346.0
1760529600, 2025,    10,  15,   17,       3,  35.66,  89.12, 132.54, 0.19,  1.86, 110.56,   31.2,           32,       1009.0,           15.7,          274,     0.0,         163.0
1760533200, 2025,    10,  15,   18,       3,  35.79,  89.24, 132.53, 0.23,  1.86, 110.8 ,   29.4,           43,       1009.6,           11.7,          290,     0.0,          30.0
1760536800, 2025,    10,  15,   19,       3,  35.43,  87.9 , 131.65, 0.22,  1.77, 109.76,   28.0,           55,       1009.9,            9.8,          306,     0.0,           0.0
1760540400, 2025,    10,  15,   20,       3,  35.21,  86.83, 130.97, 0.2 ,  1.7 , 109.08,   27.2,           63,       1010.1,           11.3,          309,     0.0,           0.0
1760544000, 2025,    10,  15,   21,       3,  34.85,  85.49, 130.01, 0.18,  1.63, 108.29,   26.8,           62,       1010.6,            9.8,          313,     0.0,           0.0
1760547600, 2025,    10,  15,   22,       3,  34.42,  83.94, 129.31, 0.16,  1.56, 107.65,   26.4,           61,       1011.0,            7.8,          326,     0.0,           0.0
1760551200, 2025,    10,  15,   23,       3,  34.12,  82.75, 128.89, 0.15,  1.51, 107.45,   25.7,           65,       1011.0,            7.8,          338,     0.0,           0.0
1760554800, 2025,    10,  16,    0,       3,  33.99,  82.01, 128.62, 0.13,  1.48, 107.61,   25.6,           68,       1010.8,            7.9,          325,     0.0,           0.0
