feature,xgboost,random_forest,svm,average
month,0.64664215,0.04462163833793394,0.147482542206957,0.27958210967987046
co,0.49300176,0.03729274118768967,0.11693217340834157,0.21574222454943595
o3,0.3922669,0.028837166845643615,0.20348291920728312,0.20819566180007734
so2,0.29423106,0.030161498075869802,0.23314032805805093,0.185844294433658
pm2_5,0.3143849,0.023594438191126256,0.20371011713722717,0.1805631542708027
pm10,0.33249122,0.02026014285580726,0.15176856101720199,0.16817330763891367
pressure_hpa,0.30635756,0.025597382032314177,0.0577887021128999,0.12991454889572523
wind_speed_kmh,0.25848433,0.011109974450808528,0.06056973348940718,0.11005468056460051
wind_dir_deg,0.24491112,0.011779682792618132,0.05191693767979029,0.1028692466047529
humidity_pct,0.19727397,0.010237317447073686,0.09225367124880952,0.09992165278205058
no2,0.2260375,0.017457018608594686,0.05280352177766075,0.09876601422502461
temp_c,0.17567393,0.009954895712222961,0.08844012782276905,0.09135631845735798
hour,0.1013186,0.00723531580801802,0.03947629274867876,0.04934340211675863
solar_rad_wm2,0.051164526,0.003339279825636438,0.07474662360762283,0.043083476641872176
rain_mm,0.0,7.848547775523088e-06,0.0021228134686031297,0.0007102206721262177
